,company_name,old,total_employees,cities,type,industry,rating
4278,Larsen & Toubro Limited, 86 years old , 10k-50k Employees ,Kalyani,Public,Engineering & Construction,4-5
4279,TCS, 56 years old , 1 Lakh+ Employees ,Mumbai,Public,It Services & Consulting,3-4
4280,Accenture, 35 years old , 1 Lakh+ Employees ,Dublin,Public,It Services & Consulting,3-4
4281,Cognizant, 30 years old , 1 Lakh+ Employees ,Teaneck. New Jersey.,Forbes Global 2000,It Services & Consulting,3-4
4282,Wipro, 79 years old , 1 Lakh+ Employees ,Bangalore/Bengaluru,Public,It Services & Consulting,3-4
4283,Capgemini, 57 years old , 1 Lakh+ Employees ,Paris,Public,It Services & Consulting,3-4
4284,HDFC Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4285,ICICI Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4286,Infosys, 43 years old , 1 Lakh+ Employees ,Bengaluru/Bangalore,Public,It Services & Consulting,3-4
4287,HCLTech, 33 years old , 1 Lakh+ Employees ,Noida,Public,It Services & Consulting,3-4
4288,Tech Mahindra, 38 years old , 1 Lakh+ Employees ,Pune,Public,It Services & Consulting,3-4
4289,Genpact, 27 years old , 1 Lakh+ Employees ,New York,Public,It Services & Consulting,3-4
4290,Axis Bank, 31 years old , 50k-1 Lakh Employees ,Mumbai,Public,Banking,3-4
4291,Teleperformance, 46 years old , 50k-1 Lakh Employees ,Paris,Forbes Global 2000,Bpo,3-4
4292,Concentrix Corporation, 41 years old , 50k-1 Lakh Employees ,Fremont,Public,Bpo,3-4
4293,Jio, 6 years old , 50k-1 Lakh Employees ,Navi Mumbai,Public,Telecom,3-4
4294,Amazon, 30 years old , 1 Lakh+ Employees ,Seattle,Public,Internet,4-5
4295,IBM, 113 years old , 1 Lakh+ Employees ,Armonk,Public,It Services & Consulting,4-5
4296,Larsen & Toubro Limited, 86 years old , 10k-50k Employees ,Mumbai,Public,Engineering & Construction,4-5
4297,TCS, 56 years old , 1 Lakh+ Employees ,Mumbai,Public,It Services & Consulting,3-4
4298,Accenture, 35 years old , 1 Lakh+ Employees ,Dublin,Public,It Services & Consulting,3-4
4299,Cognizant, 30 years old , 1 Lakh+ Employees ,Teaneck. New Jersey.,Forbes Global 2000,It Services & Consulting,3-4
4300,Wipro, 79 years old , 1 Lakh+ Employees ,Bangalore/Bengaluru,Public,It Services & Consulting,3-4
4301,Capgemini, 57 years old , 1 Lakh+ Employees ,Paris,Public,It Services & Consulting,3-4
4302,HDFC Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4303,ICICI Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4304,Infosys, 43 years old , 1 Lakh+ Employees ,Bengaluru/Bangalore,Public,It Services & Consulting,3-4
4305,HCLTech, 33 years old , 1 Lakh+ Employees ,Noida,Public,It Services & Consulting,3-4
4306,Tech Mahindra, 38 years old , 1 Lakh+ Employees ,Pune,Public,It Services & Consulting,3-4
4307,Genpact, 27 years old , 1 Lakh+ Employees ,New York,Public,It Services & Consulting,3-4
4308,Axis Bank, 31 years old , 50k-1 Lakh Employees ,Mumbai,Public,Banking,3-4
4309,Teleperformance, 46 years old , 50k-1 Lakh Employees ,Paris,Forbes Global 2000,Bpo,3-4
4310,Concentrix Corporation, 41 years old , 50k-1 Lakh Employees ,Fremont,Public,Bpo,3-4
4311,Jio, 6 years old , 50k-1 Lakh Employees ,Navi Mumbai,Public,Telecom,3-4
4312,Amazon, 30 years old , 1 Lakh+ Employees ,Seattle,Public,Internet,4-5
4313,IBM, 113 years old , 1 Lakh+ Employees ,Armonk,Public,It Services & Consulting,4-5
4314,Larsen & Toubro Limited, 86 years old , 10k-50k Employees ,Mumbai,Public,Engineering & Construction,4-5
4315,TCS, 56 years old , 1 Lakh+ Employees ,Mumbai,Public,It Services & Consulting,3-4
4316,Accenture, 35 years old , 1 Lakh+ Employees ,Dublin,Public,It Services & Consulting,3-4
4317,Cognizant, 30 years old , 1 Lakh+ Employees ,Teaneck. New Jersey.,Forbes Global 2000,It Services & Consulting,3-4
4318,Wipro, 79 years old , 1 Lakh+ Employees ,Bangalore/Bengaluru,Public,It Services & Consulting,3-4
4319,Capgemini, 57 years old , 1 Lakh+ Employees ,Paris,Public,It Services & Consulting,3-4
4320,HDFC Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4321,ICICI Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4322,Infosys, 43 years old , 1 Lakh+ Employees ,Bengaluru/Bangalore,Public,It Services & Consulting,3-4
4323,HCLTech, 33 years old , 1 Lakh+ Employees ,Noida,Public,It Services & Consulting,3-4
4324,Tech Mahindra, 38 years old , 1 Lakh+ Employees ,Pune,Public,It Services & Consulting,3-4
4325,Genpact, 27 years old , 1 Lakh+ Employees ,New York,Public,It Services & Consulting,3-4
4326,Axis Bank, 31 years old , 50k-1 Lakh Employees ,Mumbai,Public,Banking,3-4
4327,Teleperformance, 46 years old , 50k-1 Lakh Employees ,Paris,Forbes Global 2000,Bpo,3-4
4328,Concentrix Corporation, 41 years old , 50k-1 Lakh Employees ,Fremont,Public,Bpo,3-4
4329,Jio, 6 years old , 50k-1 Lakh Employees ,Navi Mumbai,Public,Telecom,3-4
4330,Amazon, 30 years old , 1 Lakh+ Employees ,Seattle,Public,Internet,4-5
4331,IBM, 113 years old , 1 Lakh+ Employees ,Armonk,Public,It Services & Consulting,4-5
4332,Larsen & Toubro Limited, 86 years old , 10k-50k Employees ,Mumbai,Public,Engineering & Construction,4-5
4333,TCS, 56 years old , 1 Lakh+ Employees ,Mumbai,Public,It Services & Consulting,3-4
4334,Accenture, 35 years old , 1 Lakh+ Employees ,Dublin,Public,It Services & Consulting,3-4
4335,Cognizant, 30 years old , 1 Lakh+ Employees ,Teaneck. New Jersey.,Forbes Global 2000,It Services & Consulting,3-4
4336,Wipro, 79 years old , 1 Lakh+ Employees ,Bangalore/Bengaluru,Public,It Services & Consulting,3-4
4337,Capgemini, 57 years old , 1 Lakh+ Employees ,Paris,Public,It Services & Consulting,3-4
4338,HDFC Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4339,ICICI Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4340,Infosys, 43 years old , 1 Lakh+ Employees ,Bengaluru/Bangalore,Public,It Services & Consulting,3-4
4341,HCLTech, 33 years old , 1 Lakh+ Employees ,Noida,Public,It Services & Consulting,3-4
4342,Tech Mahindra, 38 years old , 1 Lakh+ Employees ,Pune,Public,It Services & Consulting,3-4
4343,Genpact, 27 years old , 1 Lakh+ Employees ,New York,Public,It Services & Consulting,3-4
4344,Axis Bank, 31 years old , 50k-1 Lakh Employees ,Mumbai,Public,Banking,3-4
4345,Teleperformance, 46 years old , 50k-1 Lakh Employees ,Paris,Forbes Global 2000,Bpo,3-4
4346,Concentrix Corporation, 41 years old , 50k-1 Lakh Employees ,Fremont,Public,Bpo,3-4
4347,Jio, 6 years old , 50k-1 Lakh Employees ,Navi Mumbai,Public,Telecom,3-4
4348,Amazon, 30 years old , 1 Lakh+ Employees ,Seattle,Public,Internet,4-5
4349,IBM, 113 years old , 1 Lakh+ Employees ,Armonk,Public,It Services & Consulting,4-5
4350,Larsen & Toubro Limited, 86 years old , 10k-50k Employees ,Jaipur,Public,Engineering & Construction,4-5
4351,TCS, 56 years old , 1 Lakh+ Employees ,Mumbai,Public,It Services & Consulting,3-4
4352,Accenture, 35 years old , 1 Lakh+ Employees ,Dublin,Public,It Services & Consulting,3-4
4353,Cognizant, 30 years old , 1 Lakh+ Employees ,Teaneck. New Jersey.,Forbes Global 2000,It Services & Consulting,3-4
4354,Wipro, 79 years old , 1 Lakh+ Employees ,Bangalore/Bengaluru,Public,It Services & Consulting,3-4
4355,Capgemini, 57 years old , 1 Lakh+ Employees ,Paris,Public,It Services & Consulting,3-4
4356,HDFC Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4357,ICICI Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4358,Infosys, 43 years old , 1 Lakh+ Employees ,Bengaluru/Bangalore,Public,It Services & Consulting,3-4
4359,HCLTech, 33 years old , 1 Lakh+ Employees ,Noida,Public,It Services & Consulting,3-4
4360,Tech Mahindra, 38 years old , 1 Lakh+ Employees ,Pune,Public,It Services & Consulting,3-4
4361,Genpact, 27 years old , 1 Lakh+ Employees ,New York,Public,It Services & Consulting,3-4
4362,Axis Bank, 31 years old , 50k-1 Lakh Employees ,Mumbai,Public,Banking,3-4
4363,Teleperformance, 46 years old , 50k-1 Lakh Employees ,Paris,Forbes Global 2000,Bpo,3-4
4364,Concentrix Corporation, 41 years old , 50k-1 Lakh Employees ,Fremont,Public,Bpo,3-4
4365,Jio, 6 years old , 50k-1 Lakh Employees ,Navi Mumbai,Public,Telecom,3-4
4366,Amazon, 30 years old , 1 Lakh+ Employees ,Seattle,Public,Internet,4-5
4367,IBM, 113 years old , 1 Lakh+ Employees ,Armonk,Public,It Services & Consulting,4-5
4368,Larsen & Toubro Limited, 86 years old , 10k-50k Employees ,Mumbai,Public,Engineering & Construction,4-5
4369,TCS, 56 years old , 1 Lakh+ Employees ,Mumbai,Public,It Services & Consulting,3-4
4370,Accenture, 35 years old , 1 Lakh+ Employees ,Dublin,Public,It Services & Consulting,3-4
4371,Cognizant, 30 years old , 1 Lakh+ Employees ,Teaneck. New Jersey.,Forbes Global 2000,It Services & Consulting,3-4
4372,Wipro, 79 years old , 1 Lakh+ Employees ,Bangalore/Bengaluru,Public,It Services & Consulting,3-4
4373,Capgemini, 57 years old , 1 Lakh+ Employees ,Paris,Public,It Services & Consulting,3-4
4374,HDFC Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4375,ICICI Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4376,Infosys, 43 years old , 1 Lakh+ Employees ,Bengaluru/Bangalore,Public,It Services & Consulting,3-4
4377,HCLTech, 33 years old , 1 Lakh+ Employees ,Noida,Public,It Services & Consulting,3-4
4378,Tech Mahindra, 38 years old , 1 Lakh+ Employees ,Pune,Public,It Services & Consulting,3-4
4379,Genpact, 27 years old , 1 Lakh+ Employees ,New York,Public,It Services & Consulting,3-4
4380,Axis Bank, 31 years old , 50k-1 Lakh Employees ,Mumbai,Public,Banking,3-4
4381,Teleperformance, 46 years old , 50k-1 Lakh Employees ,Paris,Forbes Global 2000,Bpo,3-4
4382,Concentrix Corporation, 41 years old , 50k-1 Lakh Employees ,Fremont,Public,Bpo,3-4
4383,Jio, 6 years old , 50k-1 Lakh Employees ,Navi Mumbai,Public,Telecom,3-4
4384,Amazon, 30 years old , 1 Lakh+ Employees ,Seattle,Public,Internet,4-5
4385,IBM, 113 years old , 1 Lakh+ Employees ,Armonk,Public,It Services & Consulting,4-5
4386,Larsen & Toubro Limited, 86 years old , 10k-50k Employees ,Mumbai,Public,Engineering & Construction,4-5
4387,TCS, 56 years old , 1 Lakh+ Employees ,Mumbai,Public,It Services & Consulting,3-4
4388,Accenture, 35 years old , 1 Lakh+ Employees ,Dublin,Public,It Services & Consulting,3-4
4389,Cognizant, 30 years old , 1 Lakh+ Employees ,Teaneck. New Jersey.,Forbes Global 2000,It Services & Consulting,3-4
4390,Wipro, 79 years old , 1 Lakh+ Employees ,Bangalore/Bengaluru,Public,It Services & Consulting,3-4
4391,Capgemini, 57 years old , 1 Lakh+ Employees ,Paris,Public,It Services & Consulting,3-4
4392,HDFC Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4393,ICICI Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4394,Infosys, 43 years old , 1 Lakh+ Employees ,Bengaluru/Bangalore,Public,It Services & Consulting,3-4
4395,HCLTech, 33 years old , 1 Lakh+ Employees ,Noida,Public,It Services & Consulting,3-4
4396,Tech Mahindra, 38 years old , 1 Lakh+ Employees ,Pune,Public,It Services & Consulting,3-4
4397,Genpact, 27 years old , 1 Lakh+ Employees ,New York,Public,It Services & Consulting,3-4
4398,Axis Bank, 31 years old , 50k-1 Lakh Employees ,Mumbai,Public,Banking,3-4
4399,Teleperformance, 46 years old , 50k-1 Lakh Employees ,Paris,Forbes Global 2000,Bpo,3-4
4400,Concentrix Corporation, 41 years old , 50k-1 Lakh Employees ,Fremont,Public,Bpo,3-4
4401,Jio, 6 years old , 50k-1 Lakh Employees ,Navi Mumbai,Public,Telecom,3-4
4402,Amazon, 30 years old , 1 Lakh+ Employees ,Seattle,Public,Internet,4-5
4403,IBM, 113 years old , 1 Lakh+ Employees ,Armonk,Public,It Services & Consulting,4-5
4404,Larsen & Toubro Limited, 86 years old , 10k-50k Employees ,Mumbai,Public,Engineering & Construction,4-5
4405,TCS, 56 years old , 1 Lakh+ Employees ,Mumbai,Public,It Services & Consulting,3-4
4406,Accenture, 35 years old , 1 Lakh+ Employees ,Jaipur,Public,It Services & Consulting,3-4
4407,Cognizant, 30 years old , 1 Lakh+ Employees ,Chennai,Forbes Global 2000,It Services & Consulting,3-4
4408,Wipro, 79 years old , 1 Lakh+ Employees ,Jaipur,Public,It Services & Consulting,3-4
4409,Capgemini, 57 years old , 1 Lakh+ Employees ,Jaipur,Public,It Services & Consulting,3-4
4410,HDFC Bank, 30 years old , 1 Lakh+ Employees ,Jaipur,Public,Banking,3-4
4411,ICICI Bank, 30 years old , 1 Lakh+ Employees ,Jaipur,Public,Banking,3-4
4412,Infosys, 43 years old , 1 Lakh+ Employees ,Jaipur,Public,It Services & Consulting,3-4
4413,HCLTech, 33 years old , 1 Lakh+ Employees ,Jaipur,Public,It Services & Consulting,3-4
4414,Tech Mahindra, 38 years old , 1 Lakh+ Employees ,Jaipur,Public,It Services & Consulting,3-4
4415,Genpact, 27 years old , 1 Lakh+ Employees ,Jaipur,Public,It Services & Consulting,3-4
4416,Axis Bank, 31 years old , 50k-1 Lakh Employees ,Jaipur,Public,Banking,3-4
4417,Teleperformance, 46 years old , 50k-1 Lakh Employees ,Jaipur,Forbes Global 2000,Bpo,3-4
4418,Concentrix Corporation, 41 years old , 50k-1 Lakh Employees ,Jaipur,Public,Bpo,3-4
4419,Jio, 6 years old , 50k-1 Lakh Employees ,Jaipur,Public,Telecom,3-4
4420,Amazon, 30 years old , 1 Lakh+ Employees ,Jaipur,Public,Internet,4-5
4421,IBM, 113 years old , 1 Lakh+ Employees ,Jaipur,Public,It Services & Consulting,4-5
4422,Larsen & Toubro Limited, 86 years old , 10k-50k Employees ,Jaipur,Public,Engineering & Construction,4-5
4423,TCS, 56 years old , 1 Lakh+ Employees ,Mumbai,Public,It Services & Consulting,3-4
4424,Accenture, 35 years old , 1 Lakh+ Employees ,Dublin,Public,It Services & Consulting,3-4
4425,Cognizant, 30 years old , 1 Lakh+ Employees ,Teaneck. New Jersey.,Forbes Global 2000,It Services & Consulting,3-4
4426,Wipro, 79 years old , 1 Lakh+ Employees ,Bangalore/Bengaluru,Public,It Services & Consulting,3-4
4427,Capgemini, 57 years old , 1 Lakh+ Employees ,Paris,Public,It Services & Consulting,3-4
4428,HDFC Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4429,ICICI Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4430,Infosys, 43 years old , 1 Lakh+ Employees ,Bengaluru/Bangalore,Public,It Services & Consulting,3-4
4431,HCLTech, 33 years old , 1 Lakh+ Employees ,Noida,Public,It Services & Consulting,3-4
4432,Tech Mahindra, 38 years old , 1 Lakh+ Employees ,Pune,Public,It Services & Consulting,3-4
4433,Genpact, 27 years old , 1 Lakh+ Employees ,New York,Public,It Services & Consulting,3-4
4434,Axis Bank, 31 years old , 50k-1 Lakh Employees ,Mumbai,Public,Banking,3-4
4435,Teleperformance, 46 years old , 50k-1 Lakh Employees ,Paris,Forbes Global 2000,Bpo,3-4
4436,Concentrix Corporation, 41 years old , 50k-1 Lakh Employees ,Fremont,Public,Bpo,3-4
4437,Jio, 6 years old , 50k-1 Lakh Employees ,Navi Mumbai,Public,Telecom,3-4
4438,Amazon, 30 years old , 1 Lakh+ Employees ,Seattle,Public,Internet,4-5
4439,IBM, 113 years old , 1 Lakh+ Employees ,Armonk,Public,It Services & Consulting,4-5
4440,Larsen & Toubro Limited, 86 years old , 10k-50k Employees ,Mumbai,Public,Engineering & Construction,4-5
4441,TCS, 56 years old , 1 Lakh+ Employees ,Mumbai,Public,It Services & Consulting,3-4
4442,Accenture, 35 years old , 1 Lakh+ Employees ,Dublin,Public,It Services & Consulting,3-4
4443,Cognizant, 30 years old , 1 Lakh+ Employees ,Teaneck. New Jersey.,Forbes Global 2000,It Services & Consulting,3-4
4444,Wipro, 79 years old , 1 Lakh+ Employees ,Bangalore/Bengaluru,Public,It Services & Consulting,3-4
4445,Capgemini, 57 years old , 1 Lakh+ Employees ,Paris,Public,It Services & Consulting,3-4
4446,HDFC Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4447,ICICI Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4448,Infosys, 43 years old , 1 Lakh+ Employees ,Bengaluru/Bangalore,Public,It Services & Consulting,3-4
4449,HCLTech, 33 years old , 1 Lakh+ Employees ,Noida,Public,It Services & Consulting,3-4
4450,Tech Mahindra, 38 years old , 1 Lakh+ Employees ,Pune,Public,It Services & Consulting,3-4
4451,Genpact, 27 years old , 1 Lakh+ Employees ,New York,Public,It Services & Consulting,3-4
4452,Axis Bank, 31 years old , 50k-1 Lakh Employees ,Mumbai,Public,Banking,3-4
4453,Teleperformance, 46 years old , 50k-1 Lakh Employees ,Paris,Forbes Global 2000,Bpo,3-4
4454,Concentrix Corporation, 41 years old , 50k-1 Lakh Employees ,Fremont,Public,Bpo,3-4
4455,Jio, 6 years old , 50k-1 Lakh Employees ,Navi Mumbai,Public,Telecom,3-4
4456,Amazon, 30 years old , 1 Lakh+ Employees ,Seattle,Public,Internet,4-5
4457,IBM, 113 years old , 1 Lakh+ Employees ,Armonk,Public,It Services & Consulting,4-5
4458,Larsen & Toubro Limited, 86 years old , 10k-50k Employees ,Mumbai,Public,Engineering & Construction,4-5
4459,TCS, 56 years old , 1 Lakh+ Employees ,Mumbai,Public,It Services & Consulting,3-4
4460,Accenture, 35 years old , 1 Lakh+ Employees ,Dublin,Public,It Services & Consulting,3-4
4461,Cognizant, 30 years old , 1 Lakh+ Employees ,Teaneck. New Jersey.,Forbes Global 2000,It Services & Consulting,3-4
4462,Wipro, 79 years old , 1 Lakh+ Employees ,Bangalore/Bengaluru,Public,It Services & Consulting,3-4
4463,Capgemini, 57 years old , 1 Lakh+ Employees ,Paris,Public,It Services & Consulting,3-4
4464,HDFC Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4465,ICICI Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4466,Infosys, 43 years old , 1 Lakh+ Employees ,Bengaluru/Bangalore,Public,It Services & Consulting,3-4
4467,HCLTech, 33 years old , 1 Lakh+ Employees ,Noida,Public,It Services & Consulting,3-4
4468,Tech Mahindra, 38 years old , 1 Lakh+ Employees ,Pune,Public,It Services & Consulting,3-4
4469,Genpact, 27 years old , 1 Lakh+ Employees ,New York,Public,It Services & Consulting,3-4
4470,Axis Bank, 31 years old , 50k-1 Lakh Employees ,Mumbai,Public,Banking,3-4
4471,Teleperformance, 46 years old , 50k-1 Lakh Employees ,Paris,Forbes Global 2000,Bpo,3-4
4472,Concentrix Corporation, 41 years old , 50k-1 Lakh Employees ,Fremont,Public,Bpo,3-4
4473,Jio, 6 years old , 50k-1 Lakh Employees ,Navi Mumbai,Public,Telecom,3-4
4474,Amazon, 30 years old , 1 Lakh+ Employees ,Seattle,Public,Internet,4-5
4475,IBM, 113 years old , 1 Lakh+ Employees ,Armonk,Public,It Services & Consulting,4-5
4476,Larsen & Toubro Limited, 86 years old , 10k-50k Employees ,Mumbai,Public,Engineering & Construction,4-5
4477,TCS, 56 years old , 1 Lakh+ Employees ,Mumbai,Public,It Services & Consulting,3-4
4478,Accenture, 35 years old , 1 Lakh+ Employees ,Dublin,Public,It Services & Consulting,3-4
4479,Cognizant, 30 years old , 1 Lakh+ Employees ,Teaneck. New Jersey.,Forbes Global 2000,It Services & Consulting,3-4
4480,Wipro, 79 years old , 1 Lakh+ Employees ,Bangalore/Bengaluru,Public,It Services & Consulting,3-4
4481,Capgemini, 57 years old , 1 Lakh+ Employees ,Paris,Public,It Services & Consulting,3-4
4482,HDFC Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4483,ICICI Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4484,Infosys, 43 years old , 1 Lakh+ Employees ,Bengaluru/Bangalore,Public,It Services & Consulting,3-4
4485,HCLTech, 33 years old , 1 Lakh+ Employees ,Noida,Public,It Services & Consulting,3-4
4486,Tech Mahindra, 38 years old , 1 Lakh+ Employees ,Pune,Public,It Services & Consulting,3-4
4487,Genpact, 27 years old , 1 Lakh+ Employees ,New York,Public,It Services & Consulting,3-4
4488,Axis Bank, 31 years old , 50k-1 Lakh Employees ,Mumbai,Public,Banking,3-4
4489,Teleperformance, 46 years old , 50k-1 Lakh Employees ,Paris,Forbes Global 2000,Bpo,3-4
4490,Concentrix Corporation, 41 years old , 50k-1 Lakh Employees ,Fremont,Public,Bpo,3-4
4491,Jio, 6 years old , 50k-1 Lakh Employees ,Navi Mumbai,Public,Telecom,3-4
4492,Amazon, 30 years old , 1 Lakh+ Employees ,Seattle,Public,Internet,4-5
4493,IBM, 113 years old , 1 Lakh+ Employees ,Armonk,Public,It Services & Consulting,4-5
4494,Larsen & Toubro Limited, 86 years old , 10k-50k Employees ,Mumbai,Public,Engineering & Construction,4-5
4495,TCS, 56 years old , 1 Lakh+ Employees ,Mumbai,Public,It Services & Consulting,3-4
4496,Accenture, 35 years old , 1 Lakh+ Employees ,Dublin,Public,It Services & Consulting,3-4
4497,Cognizant, 30 years old , 1 Lakh+ Employees ,Teaneck. New Jersey.,Forbes Global 2000,It Services & Consulting,3-4
4498,Wipro, 79 years old , 1 Lakh+ Employees ,Bangalore/Bengaluru,Public,It Services & Consulting,3-4
4499,Capgemini, 57 years old , 1 Lakh+ Employees ,Paris,Public,It Services & Consulting,3-4
4500,HDFC Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4501,ICICI Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4502,Infosys, 43 years old , 1 Lakh+ Employees ,Bengaluru/Bangalore,Public,It Services & Consulting,3-4
4503,HCLTech, 33 years old , 1 Lakh+ Employees ,Noida,Public,It Services & Consulting,3-4
4504,Tech Mahindra, 38 years old , 1 Lakh+ Employees ,Pune,Public,It Services & Consulting,3-4
4505,Genpact, 27 years old , 1 Lakh+ Employees ,New York,Public,It Services & Consulting,3-4
4506,Axis Bank, 31 years old , 50k-1 Lakh Employees ,Mumbai,Public,Banking,3-4
4507,Teleperformance, 46 years old , 50k-1 Lakh Employees ,Paris,Forbes Global 2000,Bpo,3-4
4508,Concentrix Corporation, 41 years old , 50k-1 Lakh Employees ,Fremont,Public,Bpo,3-4
4509,Jio, 6 years old , 50k-1 Lakh Employees ,Navi Mumbai,Public,Telecom,3-4
4510,Amazon, 30 years old , 1 Lakh+ Employees ,Seattle,Public,Internet,4-5
4511,IBM, 113 years old , 1 Lakh+ Employees ,Armonk,Public,It Services & Consulting,4-5
4512,Larsen & Toubro Limited, 86 years old , 10k-50k Employees ,Mumbai,Public,Engineering & Construction,4-5
4513,TCS, 56 years old , 1 Lakh+ Employees ,Mumbai,Public,It Services & Consulting,3-4
4514,Accenture, 35 years old , 1 Lakh+ Employees ,Dublin,Public,It Services & Consulting,3-4
4515,Cognizant, 30 years old , 1 Lakh+ Employees ,Teaneck. New Jersey.,Forbes Global 2000,It Services & Consulting,3-4
4516,Wipro, 79 years old , 1 Lakh+ Employees ,Bangalore/Bengaluru,Public,It Services & Consulting,3-4
4517,Capgemini, 57 years old , 1 Lakh+ Employees ,Paris,Public,It Services & Consulting,3-4
4518,HDFC Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4519,ICICI Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4520,Infosys, 43 years old , 1 Lakh+ Employees ,Bengaluru/Bangalore,Public,It Services & Consulting,3-4
4521,HCLTech, 33 years old , 1 Lakh+ Employees ,Noida,Public,It Services & Consulting,3-4
4522,Tech Mahindra, 38 years old , 1 Lakh+ Employees ,Pune,Public,It Services & Consulting,3-4
4523,Genpact, 27 years old , 1 Lakh+ Employees ,New York,Public,It Services & Consulting,3-4
4524,Axis Bank, 31 years old , 50k-1 Lakh Employees ,Mumbai,Public,Banking,3-4
4525,Teleperformance, 46 years old , 50k-1 Lakh Employees ,Paris,Forbes Global 2000,Bpo,3-4
4526,Concentrix Corporation, 41 years old , 50k-1 Lakh Employees ,Fremont,Public,Bpo,3-4
4527,Jio, 6 years old , 50k-1 Lakh Employees ,Navi Mumbai,Public,Telecom,3-4
4528,Amazon, 30 years old , 1 Lakh+ Employees ,Seattle,Public,Internet,4-5
4529,IBM, 113 years old , 1 Lakh+ Employees ,Armonk,Public,It Services & Consulting,4-5
4530,Larsen & Toubro Limited, 86 years old , 10k-50k Employees ,Mumbai,Public,Engineering & Construction,4-5
4531,TCS, 56 years old , 1 Lakh+ Employees ,Mumbai,Public,It Services & Consulting,3-4
4532,Accenture, 35 years old , 1 Lakh+ Employees ,Dublin,Public,It Services & Consulting,3-4
4533,Cognizant, 30 years old , 1 Lakh+ Employees ,Teaneck. New Jersey.,Forbes Global 2000,It Services & Consulting,3-4
4534,Wipro, 79 years old , 1 Lakh+ Employees ,Bangalore/Bengaluru,Public,It Services & Consulting,3-4
4535,Capgemini, 57 years old , 1 Lakh+ Employees ,Paris,Public,It Services & Consulting,3-4
4536,HDFC Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4537,ICICI Bank, 30 years old , 1 Lakh+ Employees ,Mumbai,Public,Banking,3-4
4538,Infosys, 43 years old , 1 Lakh+ Employees ,Bengaluru/Bangalore,Public,It Services & Consulting,3-4
4539,HCLTech, 33 years old , 1 Lakh+ Employees ,Noida,Public,It Services & Consulting,3-4
4540,Tech Mahindra, 38 years old , 1 Lakh+ Employees ,Pune,Public,It Services & Consulting,3-4
4541,Genpact, 27 years old , 1 Lakh+ Employees ,New York,Public,It Services & Consulting,3-4
4542,Axis Bank, 31 years old , 50k-1 Lakh Employees ,Mumbai,Public,Banking,3-4
4543,Teleperformance, 46 years old , 50k-1 Lakh Employees ,Paris,Forbes Global 2000,Bpo,3-4
4544,Concentrix Corporation, 41 years old , 50k-1 Lakh Employees ,Fremont,Public,Bpo,3-4
4545,Jio, 6 years old , 50k-1 Lakh Employees ,Navi Mumbai,Public,Telecom,3-4
4546,Amazon, 30 years old , 1 Lakh+ Employees ,Seattle,Public,Internet,4-5
4547,IBM, 113 years old , 1 Lakh+ Employees ,Armonk,Public,It Services & Consulting,4-5
4548,Larsen & Toubro Limited, 86 years old , 10k-50k Employees ,Mumbai,Public,Engineering & Construction,4-5
4549,TCS, 56 years old , 1 Lakh+ Employees ,Mumbai,Public,It Services & Consulting,3-4
4550,Accenture, 35 years old , 1 Lakh+ Employees ,Dublin,Public,It Services & Consulting,3-4
