,company_name,company_rating,old,total_employees,cities,type,industry
65,UBS,3.9, 9 years old , 5k-10k Employees , Pune +29 more, Forbes Global 2000 ,Investment Banking / Venture Capital / Private Equity 
66,Bharat Forge,3.9, 63 years old , 1k-5k Employees , Pune +18 more, Public ,Iron & Steel 
67,Dassault Systemes,4.0, 43 years old , 5k-10k Employees , Pune +9 more, Forbes Global 2000 ,Software Product 
68,BYJU'S,3.1, 13 years old , 10k-50k Employees , Pune +307 more, Indian Unicorn ,EdTech 
69,Tata AutoComp Systems,3.9, 29 years old , 1k-5k Employees , Pune +33 more, Public ,Auto Components 
70,ElasticRun,3.4, 8 years old , 1k-5k Employees , Pune +348 more, Indian Unicorn ,Logistics 
71,CRB Tech Solution,4.1, 23 years old , 501-1k Employees , Pune +9 more,,
72,Statestreet HCL Services,3.3, 12 years old , 5k-10k Employees , Pune +16 more,,
73,Globant,4.0, 21 years old , 1k-5k Employees , Pune +12 more,,
74,Gallagher,3.9, 97 years old , 10k-50k Employees , Pune +16 more, Forbes Global 2000 ,Insurance 
75,Honeywell Automation,3.8, 118 years old , 10k-50k Employees , Pune +65 more, Public ,Consumer Electronics & Appliances 
76,Amazon Development Centre India,4.2,, 10k-50k Employees , Pune +84 more,,
77,Bosch Chassis Systems,4.2, 73 years old , 1k-5k Employees , Pune +21 more,,
78,Faurecia,4.0, 27 years old , 1k-5k Employees , Pune +25 more,,
79,Deloitte,3.9, 179 years old , 1 Lakh+ Employees , Pune +151 more,,
80,Kotak Mahindra Bank,3.9, 21 years old , 50k-1 Lakh Employees , Pune +573 more, Public ,Banking 
81,Axis Bank,3.9, 31 years old , 50k-1 Lakh Employees , Pune +1317 more, Public ,Banking 
82,Flex,4.1, 55 years old , 5k-10k Employees , Pune +39 more, Forbes Global 2000 ,Logistics 
83,Varroc Group,3.8, 36 years old , 1k-5k Employees , Pune +34 more, Public ,Auto Components 
84,FirstCry,3.8, 14 years old , 1k-5k Employees , Pune +146 more, Indian Unicorn ,Retail 
85,United Alliance Technology,4.9,,, Pune +9 more,,
86,Bajaj Allianz Life Insurance,4.1, 23 years old , 10k-50k Employees , Pune +504 more,,
87,HDB Financial Services,4.0, 17 years old , 1 Lakh+ Employees , Pune +959 more,,
88,YASH Technologies,3.8, 28 years old , 5k-10k Employees , Pune +21 more,,
89,Bitwise Solutions,4.2, 28 years old , 1k-5k Employees , Pune +7 more,,
90,Yazaki,3.9, 83 years old , 10k-50k Employees , Pune +68 more,,
91,Suzlon Group,4.2, 29 years old , 5k-10k Employees , Pune +107 more, Public ,Power 
92,T-SYSTEMS ICT INDIA,3.9, 8 years old , 1k-5k Employees , Pune +9 more, Public ,IT Services & Consulting 
93,Tech Mahindra Business Services,3.5, 21 years old , 5k-10k Employees , Pune +49 more, Public ,BPO 
94,Hexaware Technologies,3.7, 34 years old , 10k-50k Employees , Pune +46 more, Fortune India 500 ,IT Services & Consulting 
95,Taurus BPO Services,4.6, 9 years old , 1k-5k Employees , Pune +14 more,,
96,Jabil Circuit India,4.0, 58 years old , 1k-5k Employees , Pune +12 more, Public ,Electronics Manufacturing 
97,Credence Resource Management,3.5, 10 years old , 501-1k Employees , Pune +3 more,,
98,UNO Minda,4.1, 66 years old , 201-500 Employees , Pune +87 more, Fortune India 500 ,Auto Components 
99,HARMAN,3.9, 15 years old , 5k-10k Employees , Pune +29 more, Public ,Consumer Electronics & Appliances 
100,Flash Electronics,3.7, 35 years old , 1k-5k Employees , Pune +16 more,,
101,Reliance Retail,4.0, 18 years old , 1 Lakh+ Employees , Pune +1013 more,,
102,PHN Technology,4.6,,,Pune +31 more,,
103,MasterCard,4.1, 58 years old , 5k-10k Employees , Pune +14 more, Forbes Global 2000 ,FinTech 
104,Virtusa Consulting Services,3.8, 28 years old , 10k-50k Employees , Pune +39 more,,
105,Whirlpool,4.1, 113 years old , 1k-5k Employees , Pune +140 more, Public ,Consumer Electronics & Appliances 
106,MDIndia Health Insurance TPA,3.9, 24 years old , 5k-10k Employees , Pune +77 more,,
107,Principal Global Services,4.2, 18 years old , 1k-5k Employees , Pune +8 more, Forbes Global 2000 ,Insurance 
108,JCB,4.0, 79 years old , 1k-5k Employees , Pune +90 more,,
109,Citco,3.1, 8 years old , 1k-5k Employees , Pune +11 more,,
110,Softenger,4.3, 25 years old , 501-1k Employees , Pune +29 more,,
111,_VOIS,4.0, 18 years old , 10k-50k Employees , Pune +12 more,,
112,Mahindra CIE Automotive,3.8, 25 years old , 1k-5k Employees , Pune +37 more, Public ,Auto Components 
113,Tata Communications Transformation Services,4.1, 18 years old , 1k-5k Employees , Pune +83 more,,
114,Bajaj Allianz General Insurance,4.0,, 5k-10k Employees , Pune +219 more,,
115,Veritas,4.2, 35 years old , 1k-5k Employees , Pune +37 more, Public ,Software Product 
116,Affinity Express,3.1, 31 years old , 1k-5k Employees , Pune +7 more,,
117,Allianz Technology,4.3, 134 years old , 1k-5k Employees , Pune +12 more,,
118,Larsen & Toubro Limited,4.1, 86 years old , 10k-50k Employees , Pune +623 more, Public ,Engineering & Construction 
119,CompuCom,4.0, 37 years old , 1k-5k Employees , Pune +8 more,,
120,JustDial,3.6, 28 years old , 10k-50k Employees , Pune +181 more, Public ,Internet 
121,Atlas Copco,4.3, 151 years old , 1k-5k Employees , Pune +47 more, Public ,Industrial Machinery 
122,Siemens,4.2, 177 years old , 5k-10k Employees , Pune +129 more, Public ,Industrial Automation 
123,ZF Steering Gear,3.8, 109 years old , 501-1k Employees , Pune +22 more, Public ,Auto Components 
124,AU Small Finance Bank,4.4, 28 years old , 10k-50k Employees , Pune +409 more, Fortune India 500 ,Banking 
125,Tata Elxsi,4.0, 35 years old , 5k-10k Employees , Pune +26 more, Public ,IT Services & Consulting 
