,company_name,company_rating,old,total_employees,cities,type,industry
61,BYJU'S,3.1, 13 years old , 10k-50k Employees , Mumbai +307 more, Indian Unicorn ,EdTech 
62,eClerx,3.5, 24 years old , 10k-50k Employees , Mumbai +17 more, Public ,IT Services & Consulting 
63,IBM,4.1, 113 years old , 1 Lakh+ Employees , Mumbai +149 more, Public ,IT Services & Consulting 
64,Capita,3.8, 19 years old , 5k-10k Employees , Mumbai +25 more,,
65,HDFC Ergo General Insurance,4.0, 22 years old , 10k-50k Employees , Mumbai +236 more, Public ,Insurance 
66,AU Small Finance Bank,4.4, 28 years old , 10k-50k Employees , Mumbai +409 more, Fortune India 500 ,Banking 
67,BNP Paribas,3.9, 176 years old , 10k-50k Employees , Mumbai +22 more, Forbes Global 2000 ,Financial Services 
68,KEC International,4.1, 79 years old , 5k-10k Employees , Mumbai +261 more, Public ,Engineering & Construction 
69,J. Kumar Infraprojects,4.1, 44 years old , 5k-10k Employees , Mumbai +29 more, Public ,Engineering & Construction 
70,General Mills,4.2, 96 years old , 1k-5k Employees , Mumbai +39 more, Forbes Global 2000 ,Food Processing 
71,RBL Bank,3.8, 81 years old , 10k-50k Employees , Mumbai +226 more, Public ,Banking 
72,Concentrix Corporation,3.9, 41 years old , 50k-1 Lakh Employees , Mumbai +117 more, Public ,BPO 
73,First Source,3.8, 23 years old , 10k-50k Employees , Mumbai +55 more, Public ,BPO 
74,UltraTech Cement,4.2, 41 years old , 10k-50k Employees , Mumbai +433 more, Public ,Building Material 
75,Indian Navy,4.6, 74 years old , 50k-1 Lakh Employees , Mumbai +56 more,,
76,Foundever,3.8, 39 years old , 5k-10k Employees , Mumbai +16 more, Conglomerate ,BPO 
77,ABC,4.0, 81 years old , 1k-5k Employees (Global) , Mumbai +103 more, Public ,Broadcasting 
78,CBRE,4.2, 118 years old , 10k-50k Employees , Mumbai +75 more, Forbes Global 2000 ,Real Estate 
79,Duck Creek Technologies,4.5, 24 years old , 501-1k Employees , Mumbai +6 more,,
80,Nomura Holdings,3.8, 15 years old , 1k-5k Employees , Mumbai +9 more, Public ,Investment Banking / Venture Capital / Private Equity 
81,Jet Airways,4.6, 31 years old , 201-500 Employees , Mumbai +42 more, Public ,Aviation 
82,Bharti Airtel,4.1, 29 years old , 10k-50k Employees , Mumbai +660 more, Public ,Telecom 
83,Tata Communications,4.1, 38 years old , 5k-10k Employees , Mumbai +86 more, Public ,Telecom 
84,Capacit'e Infraprojects,3.6, 12 years old , 1k-5k Employees , Mumbai +31 more, Public ,Engineering & Construction 
85,JLL,4.2, 25 years old , 10k-50k Employees , Mumbai +70 more, Forbes Global 2000 ,Real Estate 
86,NSE.IT,3.6, 25 years old , 1k-5k Employees , Mumbai +134 more, Public ,IT Services & Consulting 
87,IIFL Finance,4.0, 29 years old , 10k-50k Employees , Mumbai +673 more, Public ,NBFC 
88,Deutsche Bank,4.0, 154 years old , 10k-50k Employees , Chennai +38 more, Fortune India 500 ,Banking 
89,Bajaj Electricals,4.1, 86 years old , 1k-5k Employees , Chennai +199 more, Public ,Consumer Electronics & Appliances 
90,Sodexo,4.1, 16 years old , 10k-50k Employees , Chennai +131 more, Forbes Global 2000 ,Facility Management Services 
91,Cogoport,3.0, 8 years old , 51-200 Employees , Chennai +12 more, Startup ,Internet 
92,DHL Express,4.1, 45 years old , 1k-5k Employees , Chennai +84 more, Conglomerate ,Logistics 
93,Hexaware Technologies,3.7, 34 years old , 10k-50k Employees , Chennai +46 more, Fortune India 500 ,IT Services & Consulting 
94,Square Yards,3.8, 11 years old , 1k-5k Employees , Chennai +42 more,,
95,Hindustan Construction Company,4.3, 98 years old , 1k-5k Employees , Chennai +81 more, Public ,Engineering & Construction 
96,Kotak Mahindara Life Insurance,3.9, 23 years old , 10k-50k Employees , Chennai +212 more, Public ,Insurance 
97,SS&C TECHNOLOGIES,3.5, 38 years old , 5k-10k Employees , Chennai +25 more, Forbes Global 2000 ,IT Services & Consulting 
98,CMS IT Services,3.2, 10 years old , 5k-10k Employees , Chennai +135 more, Startup ,IT Services & Consulting 
99,Sterling & Wilson,4.1, 97 years old , 501-1k Employees , Chennai +96 more,,
100,CitiusTech,3.5, 19 years old , 1k-5k Employees , Mumbai +14 more, Indian Unicorn ,IT Services & Consulting 
101,Tata AIG,4.1, 24 years old , 5k-10k Employees , Mumbai +222 more,,
102,Tata Motors,4.2, 79 years old , 10k-50k Employees , Mumbai +433 more, Public ,Automobile 
103,Edelweiss,3.8, 7 years old , 1k-5k Employees , Mumbai +108 more, Public ,Financial Services 
104,LTIMindtree,3.6, 27 years old , 50k-1 Lakh Employees , Mumbai +52 more, Public ,IT Services & Consulting 
105,Croma,4.0, 18 years old , 5k-10k Employees , Mumbai +147 more,,
106,Shoppers Stop,4.1, 33 years old , 5k-10k Employees , Mumbai +66 more, Public ,Retail 
107,Tech Mahindra Business Services,3.5, 21 years old , 5k-10k Employees , Mumbai +49 more, Public ,BPO 
108,SMFG India Credit,4.1, 17 years old , 10k-50k Employees , Mumbai +484 more,,
109,Godrej Group,4.0, 127 years old , 10k-50k Employees , Mumbai +117 more, Public ,Chemicals 
110,GlaxoSmithKline Pharmaceuticals,4.2, 194 years old , 1k-5k Employees , Mumbai +179 more, Fortune India 500 ,Pharma 
111,Tata Power,4.0, 109 years old , 10k-50k Employees , Mumbai +119 more, Public ,Power 
112,Marsh McLennan,4.1, 153 years old , 5k-10k Employees , Mumbai +19 more, Forbes Global 2000 ,Management Consulting 
113,USV,4.1, 63 years old , 1k-5k Employees , Mumbai +90 more, Fortune India 500 ,Pharma 
114,Ceat Tyres,4.1, 66 years old , 5k-10k Employees , Mumbai +116 more, Public ,Auto Components 
115,DCB Bank,3.9, 94 years old , 5k-10k Employees , Mumbai +305 more, Fortune India 500 ,Banking 
116,Bank of America,4.4, 26 years old , 10k-50k Employees , Mumbai +28 more, Fortune India 500 ,Banking 
117,Amazon,4.1, 30 years old , 1 Lakh+ Employees , Mumbai +455 more, Public ,Internet 
118,eClinicalWorks,3.9, 25 years old , 1k-5k Employees , Mumbai +12 more,,
119,Atos Syntel,3.6, 44 years old , 5k-10k Employees , Mumbai +25 more,,
120,Atos Syntel,3.6, 44 years old , 5k-10k Employees , Mumbai +25 more,,
121,Citibank,4.0, 212 years old , 10k-50k Employees (Global) , Mumbai +47 more, Fortune India 500 ,Banking 
122,Future Group,4.3, 11 years old , 10k-50k Employees , Mumbai +196 more, Conglomerate ,Retail 
123,JustDial,3.6, 28 years old , 10k-50k Employees , Mumbai +181 more, Public ,Internet 
124,Taj Hotels Resorts and Palaces,4.2, 121 years old , 10k-50k Employees , Mumbai +94 more,,
125,Johnson & Johnson,4.2, 67 years old , 1k-5k Employees , Mumbai +137 more, Forbes Global 2000 ,Pharma 
126,L&T Finance,4.0, 30 years old , 10k-50k Employees , Mumbai +474 more, Public ,NBFC 
127,FDC,4.1, 84 years old , 5k-10k Employees , Mumbai +97 more, Public ,Pharma 
128,Alembic Pharmaceuticals,4.1, 117 years old , 10k-50k Employees , Vadodara +155 more, Public ,Pharma 
129,HERE Technologies,3.8, 39 years old , 1k-5k Employees , Navi Mumbai +14 more,,
130,JMC Projects,4.2, 42 years old , 1k-5k Employees , Rishikesh +117 more, Public ,Engineering & Construction 
131,Kotak Securities,3.7, 30 years old , 5k-10k Employees , Mumbai +116 more, Conglomerate ,Financial Services 
132,Kalpataru Group,3.9, 55 years old , 1k-5k Employees , Mumbai +62 more, Conglomerate ,Real Estate 
133,Sutherland Global Services,3.7, 38 years old , 10k-50k Employees , Chennai +57 more,,
134,BNP Paribas India Solutions,4.0, 176 years old , 5k-10k Employees , Mumbai +9 more,,
135,Piramal Capital Housing Finance,4.3, 4 years old , 1k-5k Employees , Mumbai +332 more,,
136,Expertrons,3.8, 5 years old , 201-500 Employees , Mumbai +8 more, Startup ,Education & Training 
137,Conneqt Business Solutions,3.7, 22 years old , 10k-50k Employees , Hyderabad / Secunderabad +224 more,,
138,Quantiphi Analytics Solutions Private Limited,3.1, 11 years old , 1k-5k Employees , Mumbai +11 more, Startup ,IT Services & Consulting 
139,XL Dynamics,3.2, 22 years old , 1k-5k Employees , Navi Mumbai +27 more,,
140,Tata Capital,4.2, 17 years old , 5k-10k Employees , Mumbai +236 more, Fortune India 500 ,NBFC 
141,uFaber,2.8, 11 years old , 1k-5k Employees , Mumbai +19 more, Startup ,Education & Training 
142,Samsung,4.1, 55 years old , 50k-1 Lakh Employees , Mumbai +499 more, Public ,Consumer Electronics & Appliances 
143,Athena BPO,3.3, 5 years old , 201-500 Employees , Mumbai +26 more,,
144,QualityKiosk Technologies,3.7, 24 years old , 1k-5k Employees , Mumbai +16 more,,
145,MDC Group of Companies,4.9,, 11-50 Employees (Global) , Mumbai +4 more,,
146,State Bank of India,3.9, 218 years old , 1 Lakh+ Employees , Mumbai +491 more, Fortune India 500 ,Banking 
147,Intellect Design Arena,4.1, 13 years old , 5k-10k Employees , Mumbai +26 more, Public ,FinTech 
148,Toyo Engineeering,3.9, 63 years old , 1k-5k Employees , Mumbai +33 more,,
149,Aditya Birla Fashion and Retail,4.2, 36 years old , 10k-50k Employees , Mumbai +233 more, Fortune India 500 ,Fashion & Textile 
150,UPL,4.2, 55 years old , 5k-10k Employees , Mumbai +158 more, Public ,Agro Chemicals 
151,Mphasis,3.5, 26 years old , 10k-50k Employees , Mumbai +54 more, Public ,IT Services & Consulting 
152,Atos,3.8, 27 years old , 10k-50k Employees , Mumbai +40 more, Forbes Global 2000 ,IT Services & Consulting 
153,Gandhi Automations,4.1, 28 years old , 501-1k Employees , Mumbai +20 more,,
154,Bharat Petroleum,4.2, 72 years old , 5k-10k Employees , Mumbai +221 more, Fortune India 500 ,Oil & Gas 
155,Wockhardt,3.9, 25 years old , 5k-10k Employees , Mumbai +76 more, Public ,Pharma 
156,Xyz Company,3.8,, 51-200 Employees (Global) , Mumbai +94 more,,
157,ITD Cementation India,4.3, 93 years old , 1k-5k Employees , Mumbai +66 more, Public ,Engineering & Construction 
158,Pfizer,4.1, 20 years old , 1k-5k Employees , Mumbai +113 more, Public ,Pharma 
159,Lavender Technology,5.0, 14 years old , 5k-10k Employees , Mumbai +4 more,,
160,Tata AIA Life Insurance,4.1, 23 years old , 10k-50k Employees , Mumbai +333 more,,
161,State Street Syntel,3.7, 20 years old , 501-1k Employees , Mumbai +21 more,,
162,Angel One,3.9,, 1k-5k Employees , Mumbai +111 more,,
163,Quess,4.0, 17 years old , 1k-5k Employees , Mumbai +542 more, Public ,BPO 
164,Blue Star,4.1, 81 years old , 1k-5k Employees , Mumbai +133 more, Public ,Consumer Electronics & Appliances 
165,Piramal Group,4.0, 44 years old , 10k-50k Employees , Mumbai +122 more, Fortune India 500 ,Financial Services 
166,Standard Chartered,3.9, 171 years old , 10k-50k Employees , Mumbai +58 more, Fortune India 500 ,Banking 
167,Impact Guru,4.1, 10 years old , 501-1k Employees , Mumbai +14 more, Startup ,Internet 
168,Nykaa,3.5, 12 years old , 1k-5k Employees , Mumbai +81 more, Public ,Internet 
169,IKS Health,3.6, 17 years old , 5k-10k Employees , Mumbai +16 more,,
170,Aditya Birla Group,4.1, 167 years old , 1 Lakh+ Employees , Mumbai +222 more, Conglomerate ,Building Material 
171,Zydus Lifesciences,4.2, 72 years old , 10k-50k Employees , Mumbai +152 more, Public ,Pharma 
172,Infinx,3.6, 12 years old , 1k-5k Employees , Mumbai +28 more,,
173,Godrej Properties,3.7, 34 years old , 1k-5k Employees , Mumbai +27 more, Public ,Real Estate 
174,Flipkart,4.0, 17 years old , 10k-50k Employees , Mumbai +516 more, Public ,Internet 
175,Hinduja Global Solutions,4.0, 24 years old , 10k-50k Employees , Mumbai +104 more, Public ,IT Services & Consulting 
176,Integreon,3.5, 24 years old , 1k-5k Employees , Mumbai +10 more,,
177,Aditya Birla Capital,4.0, 7 years old , 10k-50k Employees , Mumbai +192 more, Public ,Financial Services 
178,ACC,4.0, 88 years old , 5k-10k Employees , Mumbai +218 more, Public ,Building Material 
179,Toothsi,2.8, 6 years old , 501-1k Employees , Mumbai +14 more, Startup ,Internet 
180,NCR Corporation,4.1, 140 years old , 5k-10k Employees , Mumbai +79 more, Forbes Global 2000 ,IT Services & Consulting 
181,Saint-Gobain,4.0, 359 years old , 10k-50k Employees , Mumbai +92 more, Forbes Global 2000 ,Building Material 
182,IQVIA,4.0, 42 years old , 10k-50k Employees , Mumbai +44 more, Forbes Global 2000 ,Clinical Research 
