,company_name,company_rating,old,total_employees,cities,type,industry
69,Prem Henna,3.5, 94 years old , 201-500 Employees , Indore +50 more,,
70,Dezire Research,4.4, 8 years old , 51-200 Employees , Indore +1 more,,
71,MoreYeahs,4.3, 10 years old , 51-200 Employees , Indore,,
72,Paytm,3.5, 14 years old , 10k-50k Employees , Indore +327 more, Public ,FinTech 
73,Yes Bank,3.9, 20 years old , 10k-50k Employees , Indore +447 more, Public ,Banking 
74,Dilip Buildcon,4.1, 37 years old , 10k-50k Employees , Indore +189 more, Public ,Engineering & Construction 
75,IIFL Finance,4.0, 29 years old , 10k-50k Employees , Indore +673 more, Public ,NBFC 
76,Gramophone,4.1, 8 years old , 201-500 Employees , Indore +15 more, Startup ,Agriculture 
77,Deqode,3.6, 12 years old , 51-200 Employees , Indore +1 more,,
78,Kriti Industries,3.9, 41 years old , 501-1k Employees , Indore +26 more,,
79,Patel Motors,3.7, 31 years old , 11-50 Employees , Indore +5 more,,
80,Mahindra & Mahindra,4.2, 79 years old , 1 Lakh+ Employees , Indore +480 more, Public ,Automobile 
81,REDVision Global Technologies,4.6, 18 years old , 51-200 Employees , Indore,,
82,Carryfast group,3.8, 48 years old , 501-1k Employees , Indore +15 more,,
83,Reliance Industries,4.1, 47 years old , 1 Lakh+ Employees , Indore +687 more, Public ,Oil & Gas 
84,Protonshub Technologies,4.4, 6 years old , 51-200 Employees , Indore,,
85,Continuum Global Solutions,3.6,, 11-50 Employees , Indore +3 more,,
86,Yellow Diamond,4.2, 15 years old , 1k-5k Employees , Indore +54 more, Public ,FMCG 
87,Bajaj Finance,4.1, 37 years old , 10k-50k Employees , Indore +771 more,,
88,DMart,4.0, 22 years old , 10k-50k Employees , Indore +213 more, Fortune India 500 ,Retail 
89,SMFG India Credit,4.1, 17 years old , 10k-50k Employees , Indore +484 more,,
90,Hindustan Unilever,4.3, 152 years old , 10k-50k Employees , Indore +436 more, Public ,FMCG 
91,Udaan,4.0, 8 years old ,1k-5k Employees , Indore +333 more, Indian Unicorn ,
92,Reliance General Insurance,3.9, 24 years old , 5k-10k Employees , Indore +167 more,,
93,ICICI Prudential Life Insurance,4.1, 24 years old , 10k-50k Employees , Indore +450 more, Public ,Insurance 
94,Samvardhana Motherson Group,3.8, 38 years old , 1k-5k Employees , Indore +81 more, Public ,Auto Components 
95,Altruist Technologies,3.2, 19 years old , 1k-5k Employees , Indore +30 more,,
96,Systematix Infotech,3.8, 19 years old , 201-500 Employees , Indore +2 more,,
97,Choksi Laboratories,3.4, 42 years old ,51-200 Employees , Indore +6 more, Public ,
98,Apollo Hospitals,4.2, 41 years old , 10k-50k Employees , Indore +189 more, Public ,Healthcare 
99,SynergyTop,4.6, 10 years old , 51-200 Employees , Indore +2 more,,
100,Samsung,4.1, 55 years old , 50k-1 Lakh Employees , Indore +499 more, Public ,Consumer Electronics & Appliances 
101,JK Cement,4.2, 49 years old , 1k-5k Employees , Indore +244 more, Public ,Building Material 
102,Shakti Pumps,3.9, 42 years old , 501-1k Employees , Indore +34 more, Public ,Industrial Machinery 
103,Bridgestone,4.2, 28 years old , 1k-5k Employees , Indore +49 more, Forbes Global 2000 ,Auto Components 
104,CreativeFuel,4.4, 4 years old , 51-200 Employees , Indore +1 more, Startup ,Marketing & Advertising 
105,Oorja Technical Services,3.4, 20 years old , 51-200 Employees , Indore +10 more,,
106,Bajaj Finserv,4.1, 17 years old , 50k-1 Lakh Employees , Indore +904 more, Public ,Financial Services 
107,Skillventory,3.8, 16 years old , 51-200 Employees , Indore +11 more,,
108,ICICI Lombard General Insurance Company,3.8, 23 years old , 10k-50k Employees , Indore +264 more, Public ,Insurance 
109,OPPO,4.0, 20 years old , 10k-50k Employees , Indore +354 more, Public ,Consumer Electronics & Appliances 
110,Home Credit Finance,4.1, 12 years old , 10k-50k Employees , Indore +116 more,,
111,Vivo,4.1, 15 years old , 5k-10k Employees , Indore +373 more, Conglomerate ,Consumer Electronics & Appliances 
112,First Source,3.8, 23 years old , 10k-50k Employees , Indore +55 more, Public ,BPO 
113,Shriram Finance,4.1, 45 years old , 50k-1 Lakh Employees , Indore +966 more, Public ,NBFC 
114,Pataa,4.7,, 51-200 Employees , Indore,,
115,Conduent,3.6, 7 years old , 5k-10k Employees , Indore +22 more,,
116,Reliance Communications,4.0, 22 years old , 201-500 Employees , Indore +420 more, Public ,Telecom 
117,Unichem Laboratories,3.9, 80 years old , 1k-5k Employees , Indore +65 more, Public ,Pharma 
118,Xtrim Global Solutions,4.8, 15 years old , 51-200 Employees , Indore +1 more,,
119,Amazon Development Centre India,4.2,, 10k-50k Employees , Indore +84 more,,
120,Balaji Wafers,4.3, 40 years old , 1k-5k Employees , Indore +39 more,,
121,Evitamin Business Consulting,3.7,, 201-500 Employees , Indore +1 more,,
122,Oyo Rooms,3.4, 11 years old , 1k-5k Employees , Indore +113 more, Indian Unicorn ,Hospitality 
123,Tata Capital,4.2, 17 years old , 5k-10k Employees , Indore +236 more, Fortune India 500 ,NBFC 
124,UltraTech Cement,4.2, 41 years old , 10k-50k Employees , Indore +433 more, Public ,Building Material 
125,Canopus Infosystems,4.4, 13 years old , 11-50 Employees , Indore +2 more,,
126,Eicher Motors,4.2, 42 years old , 5k-10k Employees , Indore +81 more, Public ,Automobile 
127,Codiant Software Technologies,3.7, 14 years old , 201-500 Employees , Indore +2 more,,
128,Lms Solutions,3.4, 16 years old , 51-200 Employees , Indore,,
129,Dainik Bhaskar Group,4.4, 66 years old , 5k-10k Employees , Indore +128 more, Public ,Printing & Publishing 
130,Pratibha Syntex,4.2, 27 years old , 501-1k Employees , Indore +10 more,,
131,CARS24,3.7, 9 years old , 5k-10k Employees , Indore +148 more, Indian Unicorn ,Internet 
132,Alkem Laboratories,4.0, 51 years old , 10k-50k Employees , Indore +165 more, Public ,Pharma 
133,JBM Group,4.0, 41 years old , 1k-5k Employees , Indore +85 more, Public ,Auto Components 
134,SGS,4.0, 146 years old ,1k-5k Employees , Indore +111 more, Forbes Global 2000 ,
135,Max Life Insurance,4.2, 24 years old , 10k-50k Employees , Indore +402 more,,
136,Kalyan Toll Infrastructure,4.4, 22 years old , 51-200 Employees , Indore +27 more,,
137,Appalto Electronics Private Limited,3.7, 41 years old , 201-500 Employees , Indore,,
138,Vertisystem,4.1, 17 years old , 51-200 Employees , Indore,,
139,Serosoft Solutions,3.2, 16 years old , 201-500 Employees , Indore,,
140,ICS Instrumentation & Control Solution,4.0,, 51-200 Employees , Indore +10 more,,
141,Abacus Consultancy Services,4.2, 22 years old , 51-200 Employees , Indore +3 more,,
142,Aakash Global Foods,4.3, 92 years old , 51-200 Employees , Indore +13 more,,
143,Batchmaster Software,3.9, 41 years old , 201-500 Employees , Indore +2 more,,
144,ClearTrail Technologies,3.8, 23 years old , 201-500 Employees , Indore +4 more,,
145,Delhivery,4.0, 13 years old , 10k-50k Employees , Indore +632 more, Fortune India 500 ,Logistics 
146,L&T Construction,4.1, 80 years old , 5k-10k Employees , Indore +360 more, Public ,Engineering & Construction 
147,RSPL Group,4.2, 36 years old , 10k-50k Employees , Indore +207 more,,
148,BigBasket,4.0, 13 years old , 10k-50k Employees , Indore +116 more, Indian Unicorn ,Internet 
149,Webgility,3.8, 17 years old , 51-200 Employees , Indore,,
150,Vacmet India,4.4, 31 years old , 501-1k Employees , Indore +12 more, Public ,Packaging 
151,Ralson India,3.8, 50 years old , 501-1k Employees , Indore +40 more, Public ,Auto Components 
152,WebKorps Solutions,3.7, 8 years old , 51-200 Employees , Indore +1 more,,
153,Equitas Small Finance Bank,4.4, 17 years old , 10k-50k Employees , Indore +368 more, Fortune India 500 ,Banking 
154,Potomac Technologies,3.9,, 51-200 Employees , Indore +1 more,,
155,Controlf5,4.6, 12 years old , 11-50 Employees , Indore,,
156,National Steel & Agro Industries,3.7, 39 years old , 201-500 Employees , Indore +12 more,,
157,Quest Global Technologies,3.9, 11 years old , 51-200 Employees , Indore +11 more,,
158,Bharti Infratel,4.3, 18 years old , 1k-5k Employees , Indore +67 more, Public ,Telecom 
159,Shj International,4.1,, 51-200 Employees , Indore +3 more,,
160,Epic Research,3.5, 13 years old , 51-200 Employees , Indore +1 more,,
161,Shj International,4.1,, 51-200 Employees , Indore +3 more,,
162,SpeedLabs,3.5, 9 years old , 201-500 Employees , Indore +16 more, Startup ,EdTech 
163,Aavas Financiers,4.0, 13 years old , 5k-10k Employees , Indore +235 more, Public ,Financial Services 
164,Havells,4.1, 41 years old , 5k-10k Employees , Indore +185 more, Public ,Electrical Equipment 
165,Sri Aurobindo Institute of Medical Sciences,3.9, 21 years old ,501-1k Employees , Indore +1 more,,
166,TVS Credit,4.5, 16 years old , 10k-50k Employees , Indore +312 more, Public ,NBFC 
